name,weightInGms,discountedSellInr,price_per_gram
"Lizol Disinfectant Surface & Floor Cleaner Liquid Floral",975,188.00,0.19
"Lizol Disinfectant Surface & Floor Cleaner Liquid Jasmine",500,97.00,0.19
"Lizol Disinfectant Surface & Floor Cleaner Liquid Pine",975,188.00,0.19
"Mother's Recipe Ginger And Garlic Paste",200,38.00,0.19
"Nestle A+ Actiplus Probiotic Dahi Plain Curd",400,75.00,0.19
"Nestle A+ Slim Dahi - Low Fat",400,75.00,0.19
"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",1000,194.00,0.19
"Oxi Green Max Force Green Concentrate",500,96.00,0.19
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",1200,232.00,0.19
"Smith & Jones Masala Noodles",480,89.00,0.19
"Sunfeast Dark Fantasy Bourbon Bliss",150,29.00,0.19
"Sunfeast Dark Fantasy Choco Creme",300,58.00,0.19
"Sunfeast Yippee! Magic Masala Noodles",240,45.00,0.19
"Surf Excel Matic Powder Front Load ",4000,750.00,0.19
"Surf Excel Matic Top Load Detergent Powder",1000,188.00,0.19
"Tata Sampann High Protien Kabuli Chana",500,94.00,0.19
"Tata Sampann Unpolished Urad Whole",500,94.00,0.19
"Top Ramen Chicken Noodles",280,54.00,0.19
"Veet Full Body Waxing Kit",1160,218.00,0.19
"Veet Full Body Waxing Kit For Dry Skin",1160,218.00,0.19
"24 Mantra Organic Puffed Rice",200,39.00,0.20
"Biryani /Pulav Mix",250,49.00,0.20
"Britannia Good Day Cashew Cookies",100,20.00,0.20
"Britannia Good Day Pista Badam",100,20.00,0.20
"Britannia Treat Jimjam Family Pack (Buy 4 Get 1 Free)",500,100.00,0.20
"Chakaachak Super Scrub Pad (Pack of 3)",174,34.00,0.20
"Ching's Secret Just Soak - Veg Hakka Noodles",150,30.00,0.20
"Dabur Amla Juice",1000,199.00,0.20
"Dhara Groundnut Oil (Pouch)",1000,203.00,0.20
"Dhara Health Refined Sun Flower Oil Jar",5000,984.00,0.20
"Dhara Nourish Refined Sunflower Oil Pouch",1000,199.00,0.20
"Epigamia Almond Milk Unsweetened Dairy Free",1000,199.00,0.20
"Fortune Kachi Ghani Mustard Oil Bottle",1000,199.00,0.20
"Fortune Rice Bran (Pouch)",1000,199.00,0.20
"Fortune Soyabean Oil",5000,999.00,0.20
"Maggi Rich Tomato Ketchup",500,100.00,0.20
"Oxi Green Dish Wash Liquid - Lemon",500,98.00,0.20
"Papaya Cut",200,39.00,0.20
"Parle Fab Bourbon",150,30.00,0.20
"Pedigree Dog Food Adult Chicken & Veg",3000,594.00,0.20
"Pedigree Dog Food Adult Meat & Rice",3000,608.00,0.20
"Popular Essentials Mustard Seeds Rai Big",100,20.00,0.20
"Popular Essentials Mustard Seeds Rai Small",100,20.00,0.20
"Quaker Oats",400,79.00,0.20
"Safal Frozen Corn",200,39.00,0.20
"Stayfree Dry-Max All Night Ultra-Dry Sanitary Pad",406,81.00,0.20
"Suguna Fit Egg",348,68.00,0.20
"Surf Excel Quick Wash",1000,195.00,0.20
"The Bake Shop Burger Buns",100,20.00,0.20
"The Bake Shop Foot Long",200,40.00,0.20
"The Bake Shop Pizza Base",150,30.00,0.20
"The Bake Shop Pizza Base Whole Wheat",150,30.00,0.20
"The Bake Shop Whole Wheat Ladi Pav",200,40.00,0.20
"Whisper Ultra Clean XL Plus Sanitary Pad",870,175.00,0.20
"24 Mantra Organic Tur Dal",1000,208.00,0.21
"Amul Milk Compound Chocolate Slab",500,107.00,0.21
"Britannia Milk Bikis Milky Sandwich",120,25.00,0.21
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle",150,32.00,0.21
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles",600,123.00,0.21
"Dhara Filtered Groundnut Oil (Jar)",5000,1035.00,0.21
"Dhara Filtered Groundnut Oil (Jar)",5000,1050.00,0.21
"Fortune Rice Bran Health Oil (Jar)",5000,1039.00,0.21
"Fortune Soya Health Refined Soybean Oil",1000,206.00,0.21
"Godrej No.1 Bathing Soap, Jasmine",400,84.00,0.21
"India Gate Basmati Rice",1000,210.00,0.21
"Kapiva Wild Amla Juice",1000,212.00,0.21
"Praakritik Organic Jowar Atta",500,103.00,0.21
"Saffola Active Oil",1000,210.00,0.21
"Whisper Bindazzz Night Sanitary Pads XL Plus",870,185.00,0.21
"Yummiez American Sweet Corn",400,85.00,0.21
"Ariel Matic Front Load Liquid Detergent",1000,220.00,0.22
"Britannia Good Day Pista Badam",200,44.00,0.22
"Fortune Sunlite Refined Sunflower (Pouch)",1000,219.00,0.22
"McCain French Fries Crisp & Delicious",750,167.00,0.22
"Mother's Recipe Pickle - Mango",500,109.00,0.22
"Mother's Recipe Pickle - Mixed",500,109.00,0.22
"Pedigree Puppy Dry Dog Food Food Chicken & Milk",3000,648.00,0.22
"Popular Essentials Double Beans White",250,54.00,0.22
"Popular Essentials Green Peas (Un-Polished)",500,108.00,0.22
"Praakritik Organic Chilka Moong Dal",500,108.00,0.22
"Praakritik Organic Poha",500,112.00,0.22
"RRO Primio Refined Groundnut (Jar)",2000,436.00,0.22
"Saffola Gold Oil (Pouch)",1000,215.00,0.22
"Saffola Gold Refined Cooking Oil (Jar)",2000,449.00,0.22
"Satyam Puffed Rice Kurmura (A)",200,43.00,0.22
"Satyam Singdana ",500,111.00,0.22
"Stayfree Advanced XL Ultra Comfort Sanitary napkins with Wings",812,175.00,0.22
"Sundrop Super Lite Advanced - Sunflower Oil",1000,215.00,0.22
"Surf Excel Matic Front Load Detergent Liquid",1000,221.00,0.22
"Sweet Lime",116,25.00,0.22
"Whisper Bindazzz Nights XL + Sanitary Pad",406,90.00,0.22
"Arden Eggs Brown",348,79.00,0.23
"Ariel Matic Front Load Detergent Washing Powder",3000,680.00,0.23
"Ariel Matic Liquid Detergent Front Load",1000,225.00,0.23
