name,"Number of units Present multiple times"
"Fortune Kachi Ghani Mustard Oil Bottle",2
"Satyam Puffed Rice Kurmura (R)",2
"Aashirvaad Select Sharbati Atta",2
"Gowardhan Cow Ghee Pouch",2
"Dhara Nourish Refined Sunflower Oil Pouch",2
"Parachute Oil ",2
"Popular Essentials Plain Puffed Rice (Murmura/Muri)",2
"Saffola Gold (Jar)",2
"Fortune Rice Bran Health Oil (Jar)",2
"Fortune Rozana Basmati Rice",2
"Fortune Biriyani Special Basmati Rice",2
"Popular Essentials Pumpkin Seeds",2
"Fortune Soya Health Refined Soybean Oil",2
"Gowardhan Pure Ghee Pouch",2
"Popular Essentials Jeera/Cumin Seeds",2
"Weikfield Baking Soda",2
"Tata Sampann Unpolished Chana Dal",2
"Amul Mithai Mate EOE Tin",2
"Dhara Life Refined Ricebran Oil (Pouch)",2
"Borges Extra Virgin Olive Oil",2
"Everest Tikhalal Chilli Powder",2
"Popular Essentials Kabuli Chana Regular",2
"Popular Essentials Saunf/Fennel Seeds",2
"Popular Essentials Bansi Sooji",2
"Happilo Premium International Queen Kalmi Dates",2
"Tata Sampann Unpolished Urad Whole",2
"Popular Essentials Cashew Split",2
"Popular Essentials Chana Dal (Un-Polished)",2
"Tata Sampann Unpolished Rajma (Chitra)",2
"24 Mantra Organic Cumin",2
"Nestle Milkmaid",2
"Popular Essentials Sona Masouri Steam Rice",2
"24 Mantra Organic Tur Dal",2
"Gits Gulab Jamun Instant Dessert Mix",2
"Popular Essentials Black Masoor Whole (Un-Polished)",2
"24 Mantra Organic Peanuts",2
"Everest Hingraj Powder",2
"Everest Black Pepper Powder",2
"Tata Sampann Masoor Dal Stand",2
"24 Mantra Organic Besan",2
"Saffola Gold Refined Cooking Oil (Jar)",2
"24 Mantra Organic Red Poha",2
"Everest Powder - Tea Masala",2
"Tata Sampann Urad Dal Split",2
"Popular Essentials Idli Sooji ",2
"Popular Essentials Dessicated Coconut",2
"Satyam Khobra",2
"24 Mantra Organic Green Moong Dal - Split",2
"Weikfield Vanilla Flavoured Custard Powder",2
"Tata Sampann Moong Dal Split",2
"Saffola Soya Chunks Mealmaker",2
"24 Mantra Bura Sugar (Demerara)",2
"Popular Essentials Green Cardamom (Elaichi)",2
"Hershey's Syrup Delicious Strawberry",2
"Popular Essentials Anjeer",2
"Popular Essentials Mustard Seeds Rai Small",2
"Dabur Honey Squeezy",2
"Tata Sampann High Protein Kali Urad",2
"TilSona Til Oil",2
"Everest Chaat Masala",2
"Keya Wonder Red Hot Chilli Flakes",2
"Popular Essentials White Peas (Un-Polished)",2
"Hershey's Caramel Syrup",2
"Pillsbury Multi Grain Atta",2
"Satyam Puffed Rice Kurmura (A)",2
"Hershey's Chocolate Flavour Syrup",2
"Popular Essentials Dhania (Coriander Seeds)",2
"24 Mantra Red Chilly Whole",2
"Dabur Honey - World's No.1",2
"24 Mantra Organic Puffed Rice",2
"24 Mantra Organic Wheat Daliya ",2
"24 Mantra Organic Ragi Flour",2
"Popular Essentials Cinnamon Whole (Dalchini)",2
"Sundrop Super Lite Advanced - Sunflower Oil",2
"Popular Essentials Green Moong Chilka/Chilka (Un-Polished)",2
"Popular Essentials Black Urad Split",2
"Keya Oregano",2
"Popular Essentials Pink Rajma",2
"Everest Shahi Paneer Masala",2
"Flying Bird Vanilla Essence",2
"Everest Sabji Masala",2
"Cornitos Cornitos Taco Shells - 4 Inches",2
"Everest Rajma Masala",2
"Popular Essentials White Til",2
"Amul Dark Compound Chocolate Slab",2
"Mothers Recipe Papad Chana Masala",2
"Amul Milk Compound Chocolate Slab",2
"Popular Essentials Methi Seeds",2
"Cadbury Hot Chocolate",2
"Dabur Keora water - Authentic flavour for Biryani's and Desserts",2
"Popular Essentials Black Cardamom/Elaichi ",2
"Popular Essentials Idli Rice",2
"Everest Chole Masala",2
"Popular Essentials Cooking Soda",2
"RRO Primio Refined Groundnut Oil Pet Bottle",2
"Everest Pani Puri Masala",2
"Ching's Veg Manchurian Masala",2
"24 Mantra Organic Jowar Flour",2
"Maggi Coconut Milkpowder",2
"On1y Pepper Grinder",2
"Popular Essentials Rice Flour",2
