name,weightInGms,weight_category
"Flying Bird Butter Scotch Essence",20,Low
"Dabur Hommade - Ginger Paste",200,Low
"Popular Essentials Green Peas (Un-Polished)",500,Low
"Quaker Oats Pouch",1500,Medium
"24 Mantra Organic Urad White Whole",500,Low
"Popular Essentials Guntur Chilli Stemless",100,Low
"Popular Essentials Moth Whole",500,Low
"Keya Pizza Seasoning",45,Low
"Keya Piri Piri | Exotic Spices Mix",80,Low
"24 Mantra Organic Moong Dal",500,Low
"Betty Crocker French Vanilla Cake Mix",520,Low
"Delight Nuts Dried Cranberries ",200,Low
"Everest Kesari Milk Masala",50,Low
"Tong Garden Salted Cocktail Nuts",160,Low
"MTR Uttapam Mix",500,Low
"Gits Khaman Dhokla Instant Snack Mix",180,Low
"Happilo Premium 100% Natural Whole Cashews",200,Low
"Everest Dry Mango Powder",100,Low
"Dabur Hommade - Ginger Garlic Past Tub",400,Low
"Everest Chicken Masala",200,Low
"Gits Medu Vada Instant Snack Mix",200,Low
"Weikfield Drinking Chocolate Powder",100,Low
"Popular Essentials Regular White Lobia",500,Low
"Puro Healthy Salt Crystal",1000,Medium
"Popular Essentials Premium Jeera Rice",1000,Medium
"Smith & Jones Shahi Paneer Masala Mix",60,Low
"Betty Crocker Mug Treats - Chocolate Mix - Pack of 4",264,Low
"Smith & Jones Pasta Masala",108,Low
"Catch Black Pepper Sprinkler",50,Low
"Weikfield Cooker Cake Mix - Chocolate",150,Low
"ITC Master Chef Butter Chicken",80,Low
"Masala Oats Masala & Coriander ",500,Low
"Smith & Jones Mutter Paneer Masala",60,Low
"Kitchens of India Dal Bukhara Gravy Mix",285,Low
"Popular Essentials Fried Gram (Bengal Gram)",500,Low
"Gits Jalebi with Maker Dessert Mix",100,Low
"Popular Essentials Soya Beans ",500,Low
"24 Mantra Organic Roasted Bengal Gram Dal",500,Low
"Keya Italian Seasoning",35,Low
"MTR Idli/Dosa/Chilly Chutney Powder",200,Low
"Delight Nuts Trail Mix ",200,Low
"Praakritik Organic Chilka Moong Dal",500,Low
"Smith & Jones Garlic & Herbs Masala Mix",75,Low
"Eastern Tamarind",200,Low
"Tong Garden Wasabi Coated Greenpeas Tin",180,Low
"Flying Bird Pineapple Artifical Food Essence",20,Low
"Japanese Choice Udon Noodles",250,Low
"Pantai Coconut Milk",400,Low
"Praakritik Organic Masoor Dal",500,Low
"Popular Essentials Classic Sona Masuri Rice",5000,Bulk
"Popular Essentials Salted Murmure ",400,Low
"Oleev Active Oil (Pouch)",1000,Medium
"Delight Nuts Dried Blueberries ",150,Low
"Popular Essentials Double Beans White",250,Low
"Delight Nuts Almond Natural ",200,Low
"Praakritik Organic Jaggery",900,Low
"Praakritik Organic Raw Sugar",500,Low
"MTR Masala - Sambar Powder",200,Low
"RRO Til Dil Premium Til Oil Bottle",500,Low
"ITC Master Chef Vegetable Biryani Cooking Paste",80,Low
"Jivana Jaggery",950,Low
"Praakritik Organic Besan",500,Low
"MTR Instant Gulab Jamun Mix",500,Low
"Maggi Magic Cubes Extra Chicken",240,Low
"On1y Mixed Herbs",14,Low
"Popular Essentials Urad Gola Black (Un-Polished)",500,Low
"Gits Dessert Mix China Grass Bombay Halwa",80,Low
"Praakritik Organic Basmati Rice",500,Low
"Ceres Foods Nalli Nihari Instant Liquid Masala",200,Low
"Borges Canola Oil Pet Bottle",1000,Medium
"Suhana Biryani Masala",50,Low
"On1y Black Salt Grinder",100,Low
"Popular Essentials Nylon Til",100,Low
"Pillsbury Rich Choco Oven Cake Mix - Egg Free",270,Low
"Weikfield Tomato Salsa Instant Pasta",77,Low
"Praakritik Organic Jowar Atta",500,Low
"Sugarfree Gold Low Calorie Sweetner ",50,Low
"Epicurea Thai Jasmine Rice",500,Low
"Yummiez Chicken Garlic Fingers Pouch",400,Low
"RRO Primio Refined Groundnut (Jar)",2000,Medium
"Praakritik Organic Tuvar Dal",500,Low
"Sugarfree Gold Low Calorie Sweetner",300,Low
"Cantina Beans Mexican Beans",410,Low
"Pillsbury Oven Cake Mix - Vanilla",225,Low
"Hershey's Chocolate Milk Booster",450,Low
"Popular Essentials Byadagi Chilli Stemless",100,Low
"Suhana Spice Mix - Chicken Biryani",50,Low
"Praakritik Organic Yellow Moon Dal",500,Low
"24 Mantra Sona Masuri Brown Rice",5000,Bulk
"24 Mantra Organic Pancharatna Dal - Split",500,Low
"24 Mantra Organic Cumin Powder",100,Low
"Popular Essentials Samba Broken Wheat",500,Low
"Betty Crocker Chocolate Fudge Cake Mix",475,Low
"Borges Extra Light Olive Oil Bottle ",2000,Medium
"Flying Bird Premium Orange Artificial Food Essence",20,Low
"Popular Essentials Red Cherry/Gundu Chilli",100,Low
"Super Saver Kolam Rice Sortex Clean ",5000,Bulk
"Flying Bird Food Essence - Kewra",20,Low
"MTR Vada Breakfast",500,Low
"On1y Pasta Seasoning",30,Low
"Praakritik Organic Indrayani Rice",500,Low
"On1y Pizza Seasoning",28,Low
"Kitchens of India Mutter Paneer Mix",285,Low
"Aashirvaad Svasti Cow Ghee Tetra Pack",500,Low
"Weikfield Cooker Cake Mix - Vanilla",150,Low
"Praakritik Organic Kapli Wheat Atta",1000,Medium
"Epicurea Sushi Rice",500,Low
"Sugarfree Natural Green Stevia Leaves Zero Calorie",100,Low
"Smith & Jones Italian Spices Masala Mix",75,Low
"Satyam Nighties Spices  Chilli Bore",100,Low
"Weikfield Veg Jelly Crystals - Orange",90,Low
"Praakritik Organic Jumbo Rolled Oats",500,Low
"On1y Sea Salt Grinder",100,Low
"Delight Nuts Berries Mix ",200,Low
"Praakritik Organic Ginger Powder",100,Low
"Suhana Mutton Gravy Mix",80,Low
"On1y Salad Seasoning Grinder",45,Low
"Figaro Pure Olive Oil",200,Low
"Madhur Sugar",1000,Medium
"Amul Fresh Cream",250,Low
"Madhur Pure And Hygienic Sugar",5000,Bulk
"Satyam Poha Jada",500,Low
"Aashirvaad Superior MP Whole Wheat Atta",1000,Medium
"Fortune Soyabean Oil",1000,Medium
"Maggi Masala Ae Magic",72,Low
"Aashirvaad Iodised Salt ",1000,Medium
"Maggi 2-Minute Instant Noodles - Masala",280,Low
"Popular Essentials Phool Makhana (Jumbo Size)",100,Low
"Aashirvaad Atta With Mutigrains",5000,Bulk
"Tata Sampann Poha",500,Low
"Fortune Besan Flour",1000,Medium
"Popular Essentials Toor Dal (Un-Polished)",500,Low
"Everest Tikhalal Hot & Red Chilly Powder",100,Low
"Popular Essentials Chia Seeds",100,Low
"Tata Sampann Unpolished Toor Dal/Arhar Dal",1000,Medium
"Everest Coriander Powder",100,Low
"Satyam Thin Poha Patla",500,Low
"Popular Essentials Sona Masouri Raw Rice",1000,Medium
"Tata Sampann High Protien Chana Dal - Split",500,Low
"Satyam Singdana ",500,Low
"Tata Sampann Moong Chilka ",500,Low
"Tata Sampann High Protien Toor Dal - Split",500,Low
"Ching's Chow Mein Hakka Noodles Masala",20,Low
"Everest Chat Masala",100,Low
"Popular Essentials Black Brown Chana (Un-Polished)",500,Low
"Dabur Ginger Garlic Paste",200,Low
"Ching's Secret Veg Hakka Noodles",600,Low
"Saffola Oats 100 % Natural",38,Low
"Everest Kashmiri Lal Chilli Powder",500,Low
"Popular Essentials Black Raisins Seedless",100,Low
